PROBEID,SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
1626068_at,lectin-46Cb,53522,lectin-46Cb,-0.8416701766622428,7.918290271928058,-4.829794546775158,8.468570800968157e-5,0.05977752414133398,1.3879491299628866
1629951_at,CG9863,37694,uncharacterized protein,0.6160830872529726,6.178868414720647,4.614346002584298,1.4219727815235715e-4,0.09446917996780715,0.9576946876710508
1630016_at,Vha16-2,39282,Vacuolar H[+] ATPase 16kD subunit 2,-0.6014938504979304,5.600052906917587,-4.567999341166523,1.5900733401849683e-4,0.09976826835582796,0.8646622768689838
1628925_at,CG17625,42678,uncharacterized protein,-0.7278894905890718,6.185977549604233,-4.5306735596070915,1.7398807652029276e-4,0.10342217559053613,0.7896309247315356
1641738_a_at,sosie,42961,sosie,-0.7872389476009349,9.314876433310545,-4.477749266693698,1.9769293272117156e-4,0.10675729347182274,0.6830926570231854
1624718_a_at,CG42299,32487,uncharacterized protein,-0.8181651519432398,5.5850391597023075,-4.476053458233167,1.9850391029823598e-4,0.10675729347182274,0.6796761700361955
1634629_at,CG13359,31028,uncharacterized protein,0.7680009625446056,5.764542882475358,4.418149525153127,2.2829283595179596e-4,0.11719724041998107,0.5629233668899705
1622977_at,CG14635,31032,uncharacterized protein,0.746543854179964,5.152869048545881,4.312345517688535,2.947841424743433e-4,0.14154927922511185,0.34916568955309124
1632453_at,eloF,41211,elongase F,-1.2011528307963388,7.658812868083259,-4.303991552477566,3.007953516382756e-4,0.14154927922511185,0.3322681251279107
1634808_at,lectin-21Ca,53552,lectin-21Ca,-1.3060687349739375,5.994514501664284,-4.231862377716929,3.580709798126348e-4,0.14357972950816938,0.18627454618100003
1627902_at,CG41434,4379897,uncharacterized protein,0.45957941732926866,3.746100344303544,4.227216975857831,3.621131401009655e-4,0.14357972950816938,0.17686664501817084
1639240_a_at,Acp33A,3772154,Accessory gland-specific peptide 33A,-0.5276528703966115,8.022486083235481,-4.216072434255531,3.719973567358289e-4,0.14357972950816938,0.15429435206520292
1625277_at,Tengl2,318044,Testis EndoG-Like 2,0.5973876772585252,5.296399779646281,4.2129948851075705,3.7477405592087934e-4,0.14357972950816938,0.14806049573316926
1635671_at,CG33290,2768993,uncharacterized protein,-0.9375065893319618,7.216316230973903,-4.2114613129961995,3.761654314841793e-4,0.14357972950816938,0.14495401931132612
1641463_at,CG6583,34645,uncharacterized protein,0.5883755223552676,7.938854003414466,4.205755526847016,3.813876292938801e-4,0.14357972950816938,0.1333956137979575
1634861_at,CG17177,39601,uncharacterized protein,-2.4348371501371133,4.000778528314444,-4.146445357073868,4.4014923476273055e-4,0.1546573142361976,0.013208791948850163
1630180_at,CG4815,43360,uncharacterized protein,-0.8353733208596861,5.545025063060486,-4.140785254515066,4.4620875161951063e-4,0.1546573142361976,0.0017358723579352642
1629391_at,lectin-46Ca,53523,lectin-46Ca,-0.8012575064185281,7.584746496183067,-4.135543993857589,4.5189404726354886e-4,0.1546573142361976,-0.008888467813005008
1636220_at,CG10587,40318,uncharacterized protein,-0.6916461830318852,6.159390899642619,-4.112828560939505,4.773807274030372e-4,0.15857464515558536,-0.054937958629535544
1633360_at,CG13999,33826,uncharacterized protein,1.2462672397178798,6.121023451724442,4.057798428268322,5.452214731255755e-4,0.17593518049943574,-0.16651507208195948
1631323_a_at,CG2663,40649,uncharacterized protein,1.3307252437277963,6.397740377600386,4.042850975375562,5.652525256652968e-4,0.17733227846844063,-0.1968240241034671
1631971_at,CG10907,39331,uncharacterized protein,-0.78020626001768,7.9727621525978325,-4.020603624736646,5.964303534361005e-4,0.17977608642234885,-0.2419346610629205
1627088_at,fit,42578,female-specific independent of transformer,-2.4646001571894,7.959016198150472,-4.011567415243638,6.09577187177111e-4,0.17977608642234885,-0.2602568105359371
1633511_at,CG44102,14462537,uncharacterized protein,0.8328251905857944,3.8820696619324586,4.004008540322948,6.20795765049726e-4,0.17977608642234885,-0.27558313915009336
1627709_at,CG30371,35806,uncharacterized protein,-0.5208756902321241,9.969377671004263,-3.986584103152802,6.47444676744622e-4,0.18280600447884404,-0.3109113137772539
1624820_at,CG8800,35962,uncharacterized protein,0.8260790575627723,4.838267220425726,3.9511712382428996,7.05159054272511e-4,0.19028317464211053,-0.38270169907921225
1631774_at,Cpr66Cb,38940,Cuticular protein 66Cb,0.958738856685561,5.676388915236023,3.949724293551802,7.076229267725024e-4,0.19028317464211053,-0.38563465698589106
1636760_a_at,TbCMF46,34318,TbCMF46,1.0400034992207692,5.536439673965847,3.9349192450648522,7.333296475310998e-4,0.19260988463293585,-0.41564260296545896
1634777_at,CG13297,38711,uncharacterized protein,0.47808414776497,4.2834553616254665,3.844835599108301,9.10968681478803e-4,0.2291855112729148,-0.5981285904731397
1627140_at,CG31883,326169,uncharacterized protein,1.2531740446170474,7.2629045770945115,3.842216264908774,9.167268824213286e-4,0.2291855112729148,-0.6034313282850841
1639610_at,HP1e,41108,Heterochromatin Protein 1e,-0.8005580639604117,4.8421316804799055,-3.8346946309968444,9.33463212197103e-4,0.2291855112729148,-0.6186573076938506
1634064_at,CG13311,39008,uncharacterized protein,-0.8438352922777534,7.6572563662568784,-3.7959385097892895,0.0010246142799071123,0.24621263143129632,-0.6970786215602125
1637121_at,Rbp4,41668,RNA-binding protein 4,-0.7233247399713321,6.618486633436137,-3.782422311734731,0.0010584315125367106,0.24904011463728354,-0.7244140734884779
1631240_at,Stt3B,43005,Catalytic subunit 3B of the oligosaccharyltransferase complex,-0.3663279589963224,10.139234230367517,-3.6991611195465315,0.0012924632856315171,0.2978995989371909,-0.8926113863322502
1639662_at,CG15306,31961,uncharacterized protein,-0.6049444314622043,7.264217703317524,-3.6699914802421576,0.001385989813198997,0.30677729705782697,-0.9514467878916939
1623477_at,CG42857,10178851,uncharacterized protein,-0.8091304526680432,5.188028525870086,-3.66258934260144,0.0014107659709217176,0.30677729705782697,-0.9663684720297923
1639098_s_at,snsl,33696,snustorr snarlik,1.0801449825379787,5.178281057337546,3.6620854048132814,0.0014124685184174787,0.30677729705782697,-0.9673842112354514
1628684_at,Teh1,41215,tipE homolog 1,-0.4140679931325666,4.074860685185768,-3.630990349518226,0.00152153429091509,0.3242303449357552,-1.0300263700788763
1633327_at,CG11023,33155,uncharacterized protein,0.6261965611136215,5.791196123480632,3.620816738613752,0.001558987985812856,0.3260594502179703,-1.0505067582772503
1630940_at,Anp,43595,Andropin,-0.6677947125459038,8.57085460723212,-3.5799168195106224,0.0017189348063010412,0.3529754491338902,-1.1327631048159805
1631200_at,Acp32CD,34531,Accessory gland protein 32CD,-0.6613155331135481,8.390136537667573,-3.5716042201929534,0.0017533636457960444,0.35361587527893795,-1.149464850658724
1626782_at,Prosbeta4,34999,Proteasome beta4 subunit,0.36608328818828717,11.337374908408572,3.5598640990493498,0.0018031459373832434,0.3538148870912537,-1.1730433869201153
1636829_at,Spn28Da,34082,Serpin 28Da,-0.5973447429322158,6.295600618776163,-3.5496567773138503,0.001847555582369616,0.3538148870912537,-1.1935339248685102
1630412_at,NimB5,34815,Nimrod B5,0.7714750804182868,6.841222697171236,3.5467020103170417,0.0018606104330486642,0.3538148870912537,-1.1994637353859767
1630061_at,CG34295,5740413,uncharacterized protein,-0.8647157272693375,4.34024269111583,-3.5253839717847337,0.0019575211457447997,0.3538148870912537,-1.2422229776411413
1641393_at,Cpr65Eb,38774,Cuticular protein 65Eb,0.4392282365631015,4.690972174238493,3.5241253829726413,0.001963395042615742,0.3538148870912537,-1.2447461323800288
1630584_at,CG10657,39423,uncharacterized protein,0.8085580390520768,7.251445170731326,3.5204430303004144,0.001980680306055656,0.3538148870912537,-1.252127480436945
1636014_at,CG31419,326137,uncharacterized protein,-0.6351443760325903,6.7937403071460665,-3.519245988403319,0.0019863314211468353,0.3538148870912537,-1.254526701878837
1623574_at,CG11694,40985,uncharacterized protein,-0.6647190307448296,5.713297149254392,-3.515321045895023,0.0020049719119745206,0.3538148870912537,-1.2623924886710807
1636590_s_at,klhl10,3354863,kelch like family member 10,0.7273543508472615,5.526897893642249,3.489905459760587,0.0021298988454101983,0.3687403845962605,-1.31329084069512
1624979_at,Pebp1,42644,Phosphatidylethanolamine-binding protein 1,-1.1372078103633143,11.055364788185834,-3.479259923591818,0.0021844655615247464,0.3687403845962605,-1.334591099382183
1636245_at,T48,43235,Transcript 48,0.4883557701023111,7.549879459123687,3.4710621325605904,0.002227417357161307,0.3687403845962605,-1.3509858929550322
1628980_s_at,CG6707,39168,uncharacterized protein,0.5823687837851139,9.075654026422598,3.4678506835891745,0.002244468204702263,0.3687403845962605,-1.3574065889535687
1637937_at,lncRNA:CR44076,14462689,long non-coding RNA:CR44076,-0.815201328356495,4.753309818747587,-3.4662907194119836,0.002252796753775631,0.3687403845962605,-1.3605250597825433
1624976_at,CG32026,317829,uncharacterized protein,-0.533636332862967,7.368426057716294,-3.450570684185826,0.002338432929970632,0.37728945015840454,-1.3919360901798825
1639426_at,CG9593,41912,uncharacterized protein,0.4732690374491195,4.435080574318336,3.44320031875671,0.0023796735261212396,0.37853567329596166,-1.4066540664988025
1637421_at,Cht2,38223,Chitinase 2,0.8424266730949785,7.579218346702146,3.434296887349183,0.0024304426826779317,0.38124193969673,-1.4244254974592927
1627537_at,CG3085,37663,uncharacterized protein,-0.7736686577651284,8.253390033966355,-3.416109203174299,0.002537468537244041,0.38618997244132963,-1.4607008688799157
1625438_at,Cpr65Av,318014,Cuticular protein 65Av,0.3759020145276395,5.497219883372001,3.4037349269116532,0.0026129063075893987,0.38618997244132963,-1.4853596570791456
1633170_at,lectin-30A,53541,lectin-30A,-0.5373134716249535,7.777854930062786,-3.401346614722705,0.0026277166632383436,0.38618997244132963,-1.4901168888792782
1623920_at,Ir85a,41052,Ionotropic receptor 85a,0.6709846460637845,4.864399889665561,3.3947147740929977,0.002669273535530279,0.38618997244132963,-1.5033231670837024
1629281_at,Gem3,39195,Gemin3,-1.216685067280463,7.306602038319099,-3.3879079742655116,0.002712594571147168,0.38618997244132963,-1.5168723624562377
1627393_at,CG9029,33815,uncharacterized protein,-0.7527314370252238,8.533688052620498,-3.386344432846565,0.0027226421505999717,0.38618997244132963,-1.5199838593239416
1630251_at,CG9624,41730,uncharacterized protein,0.5112639678731394,6.957452732217112,3.3757591034840604,0.002791628024158994,0.38618997244132963,-1.5410411273660278
1641199_a_at,CG1544,43689,uncharacterized protein,-0.5428457830607014,6.2050586263855525,-3.3737707468280234,0.002804775524384925,0.38618997244132963,-1.5449949979989839
1636171_at,Cpr47Ed,36192,Cuticular protein 47Ed,0.35425362730955934,4.132002379509226,3.3728203209082745,0.0028110813153279022,0.38618997244132963,-1.5468847573435678
1630006_at,sit,42658,stuck in traffic,0.540749077918937,6.494517640050948,3.370429108382717,0.0028270075913303058,0.38618997244132963,-1.5516387756195886
1625446_at,l(1)G0045,31475,lethal (1) G0045,-0.794976570228771,4.890638022974792,-3.3687679073185297,0.0028381235800097712,0.38618997244132963,-1.5549410218403734
1633365_at,Ir76b,40198,Ionotropic receptor 76b,-0.3448789742932856,4.500693791169997,-3.354404180877496,0.002936035598871006,0.39197155981138704,-1.5834796303138843
1624840_at,Acp29AB,34162,Accessory gland protein 29AB,-0.6452538791548719,7.312730217847639,-3.3501426352141173,0.0029657137928457435,0.39197155981138704,-1.591941612283442
1628879_at,CG13223,36190,uncharacterized protein,0.3556551952333229,3.877930676095599,3.3357601892298807,0.0030680526300810866,0.39197155981138704,-1.6204827705066922
1624326_at,Drep4,34734,DNA fragmentation factor-related protein 4,0.6821588641118002,7.464301647193793,3.335759866189191,0.003068054966927944,0.39197155981138704,-1.6204834112565178
1636211_at,CG12782,37685,uncharacterized protein,-0.833965634162193,6.01547235466523,-3.3350316804930062,0.00307332701037173,0.39197155981138704,-1.621927729197294
1633255_at,CG33325,2768664,uncharacterized protein,-0.9230600875651769,4.833787555404665,-3.332894702729738,0.0030888497275733525,0.39197155981138704,-1.6261659041757062
1626334_at,CG6628,39183,uncharacterized protein,0.7017185430617516,6.952514324929312,3.3269742857041784,0.003132255224100629,0.39306322778880565,-1.6379044170552097
1640855_at,Semp1,34914,Seminal metalloprotease-1,-0.7840714959701538,5.969462572844987,-3.3164190253378525,0.0032111207941722376,0.3985318488942995,-1.6588207544255384
1629418_s_at,sei,37843,seizure,-0.4037175815230478,6.902588251686246,-3.297517150410816,0.00335721212380465,0.41213427963314914,-1.6962383813715851
1632452_at,CG18258,32708,uncharacterized protein,-1.264405456073022,6.8499573214725595,-3.2755277520321213,0.0035353208979826403,0.42933241098726815,-1.7397042450832156
1640887_at,CG14628,31057,uncharacterized protein,-0.5780096728671555,6.24065947668805,-3.268805185990468,0.003591584171578033,0.43152501738087556,-1.7529785327160061
1633548_at,CG43798,14462699,uncharacterized protein,-1.0776836612539142,4.232294612527144,-3.2445908322867205,0.0038015509365088326,0.44357113266157405,-1.8007358922255912
1638819_at,CG31712,34320,uncharacterized protein,-0.48513974754635214,8.163814237331584,-3.243779044787549,0.003808792924580538,0.44357113266157405,-1.8023354173895392
1623447_a_at,GC2,41449,Glutamate Carrier 2,0.449460031879628,6.517868388736299,3.241718727838664,0.0038272333415547252,0.44357113266157405,-1.806394557211748
1632793_at,CG12723,32271,uncharacterized protein,0.43630773970672543,5.712627056519717,3.2393053861832284,0.0038489437755298618,0.44357113266157405,-1.8111483763139473
1629118_at,PGRP-SC2,35862,Peptidoglycan recognition protein SC2,-0.8746412557774637,10.8662443498828,-3.231766769486745,0.0039175347031474165,0.4455780045776781,-1.8259921753998545
1636147_at,lectin-29Ca,53547,lectin-29Ca,-0.7362652001985541,7.583715795463035,-3.2272341202523243,0.003959345556794282,0.4455780045776781,-1.8349128396511616
1640981_at,Mst57Dc,43121,Male-specific transcript 57Dc,-0.5353019992983992,8.541784692937316,-3.224506397440036,0.003984715642141446,0.4455780045776781,-1.84027968458656
1631218_at,Doc1,39039,Dorsocross1,0.3772183949335588,6.220686417741742,3.2196121819387806,0.004030632193581905,0.4462937254344513,-1.8499061865174777
1631047_at,CG43108,12798329,uncharacterized protein,-0.6400284338495323,5.9578354206451065,-3.208646794888528,0.0041353797095011295,0.4534463926126773,-1.871460248435361
1635965_at,CG17917,40778,uncharacterized protein,0.48098234595781797,6.159039799158198,3.1799618269435777,0.00442204144661931,0.48021669325113925,-1.927751731554662
1629264_at,CG13025,39874,uncharacterized protein,-0.676002355382773,3.840375581667894,-3.1669428030404667,0.004558416439759639,0.48737077212220475,-1.9532547868363879
1627495_at,CG18234,40024,uncharacterized protein,-0.49325171519445377,6.9417973428783535,-3.164370303596999,0.0045858415617380565,0.48737077212220475,-1.9582906399131996
1623294_at,CG17669,37125,uncharacterized protein,0.45630329940761705,5.879040521000783,3.161430472153729,0.004617378485662822,0.48737077212220475,-1.9640441724944395
1627933_a_at,mtt,35832,mangetout,-0.47100350897698373,4.364120629604465,-3.140983414880823,0.004842607136935516,0.5029258973355851,-2.0040192359706612
1633373_at,CG2750,32179,uncharacterized protein,-0.5067888069738586,6.308309604827058,-3.1373497913723116,0.0048837298027931625,0.5029258973355851,-2.011115416942728
1623182_at,mRpL51,34186,mitochondrial ribosomal protein L51,-0.3420378703580411,9.025128561604431,-3.1360659750357622,0.004898339711963375,0.5029258973355851,-2.013622044194764
1638132_at,CG10184,42783,uncharacterized protein,-0.585874431089243,7.543277740257965,-3.1253886543659304,0.005021497503671951,0.5085556817295338,-2.034457799285743
1629773_at,CG14518,43421,uncharacterized protein,-0.3295360457112464,3.8980177074800446,-3.1155488533347104,0.005137642667365229,0.5085556817295338,-2.0536408379670563
1627574_at,Gdap1,38597,Gdap1,-0.6109537629558792,6.799017753620903,-3.1022997472212523,0.005298139194800527,0.5085556817295338,-2.079442167270679
1634887_at,twr,40815,twisted bristles roughened eye,-0.33119466974545375,11.01881424451929,-3.100573191701693,0.005319407750205591,0.5085556817295338,-2.0828020483375616
1632039_at,CG4546,41922,uncharacterized protein,0.36759928509467166,7.629913825999383,3.0988170379982414,0.005341125514751038,0.5085556817295338,-2.0862189518943515
1629638_at,conv,36588,convoluted,0.5369173896695685,4.86448476854612,3.0970178202576744,0.00536346465574545,0.5085556817295338,-2.089719040594405
1629277_at,CG31475,42303,uncharacterized protein,-0.6075270872118859,5.6171488947514465,-3.096853103472491,0.005365514287612508,0.5085556817295338,-2.0900394400376823
1626713_at,CG6629,41324,uncharacterized protein,0.41720960840162746,6.725992376229417,3.0960092974888083,0.005376025947761613,0.5085556817295338,-2.0916806917531243
1626497_at,mRpS6,38535,mitochondrial ribosomal protein S6,-0.36883729740185167,8.472198242701536,-3.0946128652426332,0.005393465625204625,0.5085556817295338,-2.094396537422793
1638370_s_at,zld,32994,zelda,0.6683477326728147,6.977630450303852,3.093814526437055,0.005403460404422177,0.5085556817295338,-2.0959490172980413
1638028_at,CG30485,246644,uncharacterized protein,-1.2521215955481875,5.011248612627635,-3.087884880197941,0.005478258265192695,0.5113342879924487,-2.107476235346963
1634548_at,CG10029,40883,uncharacterized protein,-0.5715257365325517,7.101934067355985,-3.0695446665470834,0.005715986219163926,0.5223556979605593,-2.143086744867772
1630142_at,sog,32498,short gastrulation,-0.5468202026879938,6.04889166737194,-3.066279709938214,0.00575933787361219,0.5223556979605593,-2.1494193225601754
1625502_at,Ntf-2r,35101,Nuclear transport factor-2-related,-1.502804391243128,6.670273077555283,-3.065266993061722,0.005772848914020118,0.5223556979605593,-2.151383121425348
1630806_at,fs(1)K10,47781,female sterile (1) K10,-0.4590208130938507,7.357491656309737,-3.06463166002464,0.005781340733581539,0.5223556979605593,-2.152615017411506
1624758_at,CG4318,32266,uncharacterized protein,-0.42449985800007095,4.412091988947455,-3.036998032670056,0.006162571044852782,0.5499913602676295,-2.206118078162182
1639120_at,Gr58a,117344,Gustatory receptor 58a,0.3110030141909319,3.4024737464708226,3.035444678057798,0.006184705029741343,0.5499913602676295,-2.20912103969608
1623439_at,CG17744,38768,uncharacterized protein,-0.4471108685122136,6.6354324243479414,-3.0320529755112897,0.006233300346578412,0.5499913602676295,-2.2156761982564164
1633723_at,mav,43804,maverick,0.4618412802782377,9.250132019065267,3.0169930065296766,0.00645355151493833,0.5598462194400865,-2.244753990904523
1640964_at,CG12147,40651,uncharacterized protein,0.3862243719342322,6.359435564294485,3.0168897646381945,0.00645508696712381,0.5598462194400865,-2.2449531675961367
1632666_at,LanB2,39118,Laminin B2,-0.6067392270013272,8.397751037191858,-3.014301171157049,0.006493700615074494,0.5598462194400865,-2.249946413359489
1639845_at,Sems,40315,Seminase,-1.0188600054788637,7.013791064313227,-3.0061316164530716,0.006617027541524882,0.5661568867725911,-2.265695761577184
1637585_at,CG12278,42486,uncharacterized protein,0.31932030698581126,4.6543244925690175,3.0014513366676487,0.006688692501337234,0.5679856624819754,-2.2747120846280007
1634619_at,IP3K1,34300,"Inositol 1,4,5-triphosphate kinase 1",-0.7134619530040078,7.302992893991697,-2.9920806570435694,0.006834426974415699,0.5751893387557506,-2.292750162969671
1625491_at,bwa,250736,brain washing,-0.48690153446021966,7.921793502448889,-2.984878068038892,0.006948512623748314,0.5751893387557506,-2.3066019189104185
1628103_at,CG31496,326145,uncharacterized protein,-0.4992341449025197,6.740537847280709,-2.9750737503173186,0.007106752611970113,0.5751893387557506,-2.325439073178336
1636901_at,lncRNA:CR43640,14462765,long non-coding RNA:CR43640,0.42993546141614924,4.369301925913133,2.9742468331757848,0.0071202560555242295,0.5751893387557506,-2.3270268753268777
1634126_at,CG31788,318942,uncharacterized protein,-0.481929794630652,7.51716846715035,-2.9734798747524795,0.007132802404726757,0.5751893387557506,-2.3284994133294235
1634549_at,Pa1,32079,PTIP associated 1,0.7187351558238593,8.48196727769823,2.9730249575068024,0.00714025423229141,0.5751893387557506,-2.3293727800305253
1624777_at,CG11113,35659,uncharacterized protein,-0.5252439323955027,6.089565489536681,-2.968005336890311,0.007222976653617292,0.5751893387557506,-2.339006594547856
1625983_at,CG18666,50441,uncharacterized protein,-0.5596610814204981,5.043560198011129,-2.9632477582571526,0.007302229445108635,0.5751893387557506,-2.348132330097941
1635254_at,Eglp3,37738,Entomoglyceroporin 3,0.5073864947527689,5.201264801651939,2.9598723237640203,0.00735896364552705,0.5751893387557506,-2.35460384909977
1638541_at,mRpL32,43698,mitochondrial ribosomal protein L32,-0.2617592553555852,8.475232529361909,-2.9578398448876775,0.007393329286240042,0.5751893387557506,-2.3584993691385563
1632956_at,CG3021,53546,uncharacterized protein,-0.41569933615207333,8.142095030557583,-2.955055533362963,0.0074406571621687175,0.5751893387557506,-2.363834371889311
1631076_at,CG13771,33933,uncharacterized protein,0.5581739460644481,5.301604001115899,2.9542362440284693,0.00745463874905151,0.5751893387557506,-2.3654038750513924
1634945_at,Ostgamma,34137,Oligosaccharide transferase gamma subunit,-0.4048843404675537,9.926814689363267,-2.952896709160701,0.007477552901979679,0.5751893387557506,-2.3679696805376067
1628599_at,Psf2,33641,Psf2,-0.40615555683874494,7.943496739980937,-2.9523731828971274,0.00748652672189617,0.5751893387557506,-2.368972356258821
1626000_at,CG6508,34493,uncharacterized protein,0.6145833800323777,4.948193441453921,2.9387608069944737,0.007723517209343778,0.5820324847365986,-2.39502140327747
1625036_at,CG18281,40274,uncharacterized protein,-0.6378258655092637,5.530588406852842,-2.938424273332519,0.0077294663946292485,0.5820324847365986,-2.395664868100292
1628317_at,CG14410,32409,uncharacterized protein,-1.0341814715107391,6.116019685388911,-2.936483311203401,0.007763864221314069,0.5820324847365986,-2.3993755517476028
1632479_at,Spase12,50096,Spase 12-subunit,-0.2638855903421913,10.695686373756802,-2.9342491663394346,0.0078036395069497385,0.5820324847365986,-2.403645661547704
1639522_at,Sbat,319043,Sabbat,-0.31163935114209274,8.44092400326692,-2.9317631229312617,0.007848129006914102,0.5820324847365986,-2.4083958699848838
1634329_at,CG32579,318096,uncharacterized protein,0.7288263618515867,7.841939751871122,2.925085135246335,0.00796884290707365,0.5820324847365986,-2.421148746847548
1633130_at,CG42822,10178916,uncharacterized protein,-0.9334817639460544,6.544134173078762,-2.924898044724982,0.007972250313613725,0.5820324847365986,-2.4215058821330637
1641161_at,Ipk1,37360,Ipk1,0.4332591704796904,4.4001967676521865,2.919828370672286,0.00806511542341378,0.5820324847365986,-2.4311802210063838
1627542_at,Send1,33407,Spermathecal endopeptidase 1,-0.6543464588006271,6.417352687735449,-2.9185387503539943,0.008088903177898966,0.5820324847365986,-2.433640212609036
1634265_at,Acp95EF,47852,Accessory gland protein 95EF,-0.4780595785106989,7.8330185149986296,-2.917583677140994,0.008106563319753318,0.5820324847365986,-2.435461793289197
1627728_at,CG31099,326117,uncharacterized protein,0.48440515556420216,7.105953996404569,2.915647582555194,0.008142476765396013,0.5820324847365986,-2.4391537864650195
1629022_at,CG13991,33868,uncharacterized protein,-0.6221700196241962,5.983519550830055,-2.911573155962847,0.008218553338899126,0.5837757321353882,-2.4469205375062963
1637015_s_at,Ran,44072,Ran,-0.4173446259521274,10.944546263726693,-2.889501348206874,0.008642640908085971,0.6026762773916088,-2.4889254825260405
1637839_at,Spase25,32095,Spase 25-subunit,-0.29005159410966996,10.221424355696499,-2.889003703236426,0.00865243983303312,0.6026762773916088,-2.489871201056613
1639313_at,CG17650,33358,uncharacterized protein,-0.5770521535010324,6.261001794352089,-2.8833311854640593,0.00876488837968684,0.6026762773916088,-2.5006469298213245
1625135_at,Cby,42574,Chibby,0.5812298621322469,5.404915346458656,2.882668390589093,0.008778118014445222,0.6026762773916088,-2.501905488100488
1625588_s_at,Plod,39265,procollagen lysyl hydroxylase,-0.36627709883779946,8.470792457396993,-2.8818811369740605,0.008793856694051456,0.6026762773916088,-2.5034002372572295
1640507_s_at,lncRNA:CR40465,3885622,long non-coding RNA:CR40465,-1.052171535657192,4.786956862882401,-2.8813337712410854,0.00880481545684571,0.6026762773916088,-2.5044394247699207
1625626_at,CG4438,34257,uncharacterized protein,-0.7632806964822727,7.018512934176862,-2.874154290634194,0.008949769052341206,0.6089077811875999,-2.5180630416963456
1639142_s_at,Uhg3,3772557,U snoRNA host gene 3,0.5323407300049867,6.931577869025831,2.8647516560143176,0.009143059231920788,0.618333598594691,-2.5358860151049085
1623758_at,CG13123,34303,uncharacterized protein,-0.3779078325496572,6.560676789978222,-2.8561040742247283,0.0093243418598095585,0.6231547810248732,-2.552258315439725
1635070_at,CG9953,38763,uncharacterized protein,0.41128913128417643,10.634499805257096,2.853893734900953,0.009371225754620538,0.6231547810248732,-2.5564400962515492
1627499_at,CG2016,40612,uncharacterized protein,-0.46891826383469315,7.3837556574260566,-2.8534871012490104,0.0093798754005869,0.6231547810248732,-2.5572092796885206
1623849_s_at,CG6726,42728,uncharacterized protein,-0.38664409139241585,11.161065264284407,-2.8393368748248276,0.009685659530710447,0.6362178403440305,-2.5839495683863873
1623128_at,CG13455,39667,uncharacterized protein,-0.5290869744630449,6.494947780587395,-2.8391769849166586,0.009689168455744045,0.6362178403440305,-2.5842514276010515
1635163_at,CG5731,34355,uncharacterized protein,-0.5178295035563405,5.9233046286333275,-2.8333960820526416,0.009816852808320233,0.6408759284229405,-2.5951608966100217
1638201_at,26-29-p,39547,26-29kD-proteinase,0.5215265953711956,11.569765999118435,2.8226826210248275,0.010057736486522934,0.6497026274500528,-2.6153560599755354
